,date,text,polarity,Vader Sentiment
48,2021-02-20 20:52:56,"['Heard', 'a', 'rumor', 'some', 'crypto', 'coin', 'was', 'pegging', 'the', 'dollar', '🤣🤣']",0.0,0.0
49,2021-02-20 20:39:16,"['_CSAIL', 'Machine', 'learning', 'is', 'so', 'amaze!']",0.0,0.0
50,2021-02-20 10:06:29,"['Just', 'some', 'used', 'Antminer', 'L3rigs', 'bought', 'off', 'eBayNot', 'really', 'economicbut', 'it', 'was', 'a', 'fun', 'family', 'project.']",0.25,0.0
51,2021-02-20 09:16:14,"['Most', 'people', 'have', 'no', 'ideaeven', 'though', 'there', 'are', 'so', 'many', 'FSD', 'progress', 'videos', 'postedMunro', 'understood', 'right', 'away', 'There', 'will', 'be', 'a', 'gap', 'before', 'the', 'next', 'releasebut', 'then', 'it', 'will', 'be', 'a', 'step', 'change', 'better.', 'Tesla', 'is', 'solving', 'a', 'major', 'real-world', 'AI', 'problem.']",0.30803571428571425,0.0
52,2021-02-20 08:42:28,"['I', 'just', 'set', 'up', 'some', 'little', 'Doge', 'mining', 'rigs', 'with', 'my', 'kidsIt', 'was', 'fun.']",0.056249999999999994,0.0
53,2021-02-20 08:31:11,['🤣🤣'],0.0,0.0
54,2021-02-20 07:02:06,"['That', 'saidBTC', '&ampETH', 'do', 'seem', 'high', 'lol']",0.48000000000000004,0.0
55,2021-02-20 06:07:51,"['An', 'email', 'saying', 'you', 'have', 'gold', 'is', 'not', 'the', 'same', 'as', 'having', 'goldYou', 'might', 'as', 'well', 'have', 'crypto.', 'Money', 'is', 'just', 'data', 'that', 'allows', 'us', 'to', 'avoid', 'the', 'inconvenience', 'of', 'barter.', 'That', 'datalike', 'all', 'datais', 'subject', 'to', 'latency', '&amperrorThe', 'system', 'will', 'evolve', 'to', 'that', 'which', 'minimizes', 'both.']",-0.08333333333333333,0.0
56,2021-02-19 22:27:32,"['_glenn', '🤣🤣']",0.0,0.0
57,2021-02-19 22:25:12,"['Avocado', 'Toast']",0.0,0.0
58,2021-02-19 21:06:55,"['I', 'just', 'want', 'to', 'start', 'a', 'flame', 'in', 'your', 'heart']",0.0,0.0
59,2021-02-19 20:34:57,"['Just', 'for', 'a', 'day']",0.0,0.0
60,2021-02-19 11:30:15,['Congratulations!!'],0.0,0.0
61,2021-02-19 11:16:12,['🔥🔥'],0.0,0.0
62,2021-02-19 04:20:47,"['Somehowa', 'hash', 'text', 'file', 'using', 'ancient', 'crypto', 'can', 'be', 'exchanged', 'for', 'real', 'goods', '&ampservices!Amazing.']",0.2,0.0
63,2021-02-19 03:11:31,"['To', 'be', 'clearI', 'am', '*notan', 'investorI', 'am', 'an', 'engineerI', 'don’t', 'even', 'own', 'any', 'publicly', 'traded', 'stock', 'besides', 'Tesla', 'Howeverwhen', 'fiat', 'currency', 'has', 'negative', 'real', 'interestonly', 'a', 'fool', 'wouldn’t', 'look', 'elsewhere', 'Bitcoin', 'is', 'almost', 'as', 'bs', 'as', 'fiat', 'moneyThe', 'key', 'word', 'is', '“almost”.']",0.1,0.0
64,2021-02-19 03:01:02,"['Tesla’s', 'action', 'is', 'not', 'directly', 'reflective', 'of', 'my', 'opinionHaving', 'some', 'Bitcoinwhich', 'is', 'simply', 'a', 'less', 'dumb', 'form', 'of', 'liquidity', 'than', 'cashis', 'adventurous', 'enough', 'for', 'an', 'S&amp;P500', 'company.']",0.0013888888888888933,0.0
65,2021-02-18 23:49:40,"['SpaceX', 'in', 'south', 'Texas', '&ampTesla', 'in', 'central', 'have', 'been', 'providing', 'direct', 'assistance', 'where', 'feasible', '(eg', 'save', 'cold', 'turtles', '&amphelp', 'power', 'the', 'water', 'treatment', 'plant)Please', 'let', 'us', 'know', 'if', 'we', 'may', 'be', 'helpful', 'in', 'other', 'ways.']",-0.15625,0.0
66,2021-02-18 05:56:42,"['_ISO', 'Yes']",0.0,0.0
67,2021-02-17 08:55:40,"['._ISO', 'is', 'not', 'earning', 'that', 'R']",0.0,0.0
68,2021-02-17 04:52:16,"['You’re', 'right']",0.2857142857142857,0.0
69,2021-02-16 16:18:55,"['Covered', 'in', 'snow', '&ampiceroads', 'mostly', 'closed', '&ampno', 'power', 'in', 'Austin']",-0.1,0.0
